ID	Bike_Name	bike_model_year	Bike_Currency	Bike_Price	bike_power_cc	bike_power_watt	bike_type	bike_distance	condition
1	 Komaki SE	2014	Rs. 	13000.0		3,000 	Scooter	16,000 km	
2	 TVS Apache RTR 160 2V	2020	Rs. 	13500.0	160		Sports	50,000 km	Used
3	 Hero Hunk 150R	2021	Rs. 	14000.0	150		Commuter	2,100 km	Used
4	 Hero XTreme 160R	2021	Rs. 	15000.0	163		Commuter	15,000 km	Like new
5	 Honda CB Unicorn 160	2019	Rs. 	15000.0	163		Commuter	18,500 km	Like new
6	 Yamaha Fazer 25	2019	Rs. 	19000.0	249		Sports	27,000 km	Used
7	 TVS Star City	2011	Rs. 	20000.0	109		Commuter	40 km	Used
8	 Yamaha YBR	2011	Rs. 	25000.0	125		Commuter	85,000 km	Used
9	 Bajaj Avenger 220 Cruise	1980	Rs. 	30000.0	220		Cruiser	74 km	Used
10	 Hero Splendor	2009	Rs. 	35000.0	98		Commuter	0 km	Used
11	 TVS Apache RTR 180 2V	2017	Rs. 	35000.0	178		Sports	43,000 km	Used
12	 Hero Splendor	2005	Rs. 	38000.0	98		Commuter	45,000 km	Used
13	 Hero Splendor Plus	2004	Rs. 	40000.0	98		Commuter	40,000 km	Used
14	 Yamaha Gladiator	2010	Rs. 	40000.0	125		Commuter	102 km	Used
15	 Hero Splendor	2000	Rs. 	40000.0	98		Commuter	85,000 km	Used
16	 Honda Stunner	2013	Rs. 	40000.0	125		Commuter	32,000 km	Used
17	 Honda CB Unicorn 150	2010	Rs. 	45000.0	150		Commuter	30,000 km	Used
18	 Suzuki GS150R	2010	Rs. 	45000.0	149		Commuter	30,000 km	Used
19	 Yamaha Saluto	2018	Rs. 	45000.0	125		Commuter	10,547 km	Used
20	 Bajaj Discover 125 M	2014	Rs. 	45000.0	125		Commuter	1 km	Used
21	 Bajaj Discover 125	2006	Rs. 	45000.0	125		Commuter	80,000 km	Used
22	 Honda CB Unicorn 150	2010	Rs. 	45000.0	150		Commuter	30,000 km	
23	 Bajaj Discover 125	2006	Rs. 	45000.0	125		Commuter	80,000 km	Used
24	 Bajaj Discover 125	2013	Rs. 	46000.0	125		Commuter	50,000 km	Used
25	 Hero Pleasure	2012	Rs. 	47500.0	102		Scooter	27,560 km	Used
26	 Bajaj Discover 135	2009	Rs. 	48000.0	135		Commuter	55,355 km	Used
27	 Hero Splendor	2066	Rs. 	50000.0	98		Commuter	0 km	Used
28	 Suzuki Gixxer 150	2016	Rs. 	50000.0	155		Sports	38,000 km	Used
29	 Bajaj Discover 135	2014	Rs. 	50000.0	135		Commuter	20,000 km	Used
30	 Honda CB Shine	2009	Rs. 	50000.0	124		Commuter	20,000 km	Used
31	 Bajaj Avenger 220 Cruise	2016	Rs. 	50000.0	220		Cruiser	48,000 km	Used
32	 Cosmic Cosmic	2004	Rs. 	50000.0	150		Commuter	52,000 km	Used
33	 Bajaj Discover 125 ST	2022	Rs. 	50000.0	125		Commuter	95,000 km	Used
34	 Bajaj Discover 125	2011	Rs. 	50000.0	125		Commuter	12 km	Used
35	 Bajaj Discover 125 ST	2013	Rs. 	50000.0	125		Commuter	51,000 km	Used
36	 Yamaha YBR	2010	Rs. 	50000.0	125		Commuter	51,000 km	Used
37	 Hero CBZ	2010	Rs. 	50000.0	150		Commuter	45,000 km	Used
38	 Yamaha FZS V2	2014	Rs. 	50000.0	149		Sports Naked	70,000 km	Used
39	 Bajaj Pulsar NS 200	2012	Rs. 	50000.0	200		Sports Naked	40,000 km	Used
40	 Honda CB Unicorn 160	2014	Rs. 	50000.0	163		Commuter	19,990 km	Used
41	 Bajaj DISCOVER 150	2012	Rs. 	50000.0	145		Commuter	71,000 km	Used
42	 Yamaha FZ V1	2012	Rs. 	50000.0	149		Sports Naked	30,000 km	Used
43	 Bajaj DISCOVER 150	2012	Rs. 	50000.0	145		Commuter	71,000 km	
44	 Hero CBZ	2010	Rs. 	50000.0	150		Commuter	45,000 km	Used
45	 Honda CD 110 Dream	1997	Rs. 	51000.0	110		Commuter	2,00,000 km	Used
46	 Hero CBZ	2011	Rs. 	53500.0	150		Commuter	28,560 km	Used
47	 Hero Pleasure	2012	Rs. 	54000.0	102		Scooter	41,000 km	Used
48	 Honda CB Unicorn 150	2014	Rs. 	55000.0	150		Commuter	14,037 km	Used
49	 Bajaj DISCOVER 150	2015	Rs. 	55000.0	145		Commuter	25,000 km	Used
50	 Bajaj Discover 125	2006	Rs. 	55000.0	125		Commuter	0 km	Used
51	 Honda CB Unicorn 150	2014	Rs. 	55000.0	150		Commuter	46,000 km	Used
52	 Honda Dio	2012	Rs. 	55000.0	110		Scooter	33,657 km	Used
53	 Yamaha R15 V1	2014	Rs. 	55000.0	149		Sports	0 km	Used
54	 Bajaj Pulsar 220F	2010	Rs. 	55000.0	220		Sports	80,000 km	Used
55	 Hero Splendor	2004	Rs. 	55555.0	98		Commuter	40,000 km	Used
56	 Bajaj Discover 125	2013	Rs. 	58000.0	125		Commuter	0 km	Used
57	 Bajaj Discover 125	2011	Rs. 	59999.0	125		Commuter	30,000 km	Used
58	 Bajaj Pulsar 180	2013	Rs. 	60000.0	179		Sports	80,000 km	Used
59	 Runner Turbo	2024	Rs. 	60000.0	150		Commuter	25,000 km	Used
60	 Honda CB Twister	2011	Rs. 	60000.0	109		Commuter	28,000 km	Like new
61	 Hero Pleasure	2004	Rs. 	60000.0	102		Scooter	38,000 km	Used
62	 Hero CBZ	2011	Rs. 	60000.0	150		Commuter	70,000 km	Used
63	 Bajaj Pulsar AS 150	2007	Rs. 	60000.0	150		Sports	0 km	Used
64	 Honda CB Unicorn 150	2013	Rs. 	60000.0	150		Commuter	47,000 km	
65	 Honda CB Shine	2012	Rs. 	60000.0	124		Commuter	45,000 km	Used
66	 Honda Navi	2016	Rs. 	60000.0	110		Scooter	4,400 km	Used
67	 Hero CBZ	2011	Rs. 	60000.0	150		Commuter	70,000 km	Used
68	 Bajaj Pulsar 180	2013	Rs. 	60000.0	179		Sports	80,000 km	Used
69	 Hero CBZ	2011	Rs. 	60000.0	150		Commuter	70,000 km	Used
70	 Bajaj Pulsar AS 150	2007	Rs. 	60000.0	150		Sports	0 km	Used
71	 Runner Turbo	2024	Rs. 	60000.0	150		Commuter	25,000 km	Used
72	 Honda CB Unicorn 150	2013	Rs. 	60000.0	150		Commuter	47,000 km	Like new
73	 Bajaj Pulsar 180	2014	Rs. 	60000.0	179		Sports	50,000 km	Used
74	 Yamaha FZS V2	2013	Rs. 	60000.0	149		Sports Naked	65,000 km	Used
75	 Honda CB Twister	2011	Rs. 	60000.0	109		Commuter	28,000 km	Like new
76	 Honda Dio	2012	Rs. 	60000.0	110		Scooter	19,750 km	Used
77	 Honda CB Shine	2010	Rs. 	60000.0	124		Commuter	35,000 km	Used
78	 Bajaj Pulsar 150	2010	Rs. 	60000.0	150		Sports Naked	12,000 km	Used
79	 Hero XTreme 160R	2012	Rs. 	62000.0	163		Commuter	36,000 km	Used
80	 TVS Jupiter Classic	2014	Rs. 	63000.0	110		Scooter	0 km	Used
81	 Honda CB Shine	2010	Rs. 	64000.0	124		Commuter	80,000 km	Used
82	 Honda Aviator	2012	Rs. 	65000.0	110		Scooter	58,925 km	Used
83	 Yamaha Alba 106	2009	Rs. 	65000.0				66,400 km	Used
84	 Hero Splendor Plus	2009	Rs. 	65000.0	98		Commuter	17,430 km	Used
85	 Honda CB Unicorn 150	2010	Rs. 	65000.0	150		Commuter	44,000 km	
86	 Yamaha Enticer	2003	Rs. 	65000.0	124		Cruiser	70,000 km	Used
87	 TVS Apache RTR 180 2V	2017	Rs. 	65000.0	178		Sports	0 km	Used
88	 Honda Aviator	2012	Rs. 	65000.0	110		Scooter	58,925 km	Used
89	 Hero Duet	2016	Rs. 	65000.0	111		Scooter	44,000 km	Used
90	 TVS Apache RTR 180 2V	2014	Rs. 	65000.0	178		Sports	12,000 km	Like new
91	 Bajaj Pulsar NS 160	2017	Rs. 	65000.0	160		Sports Naked	38,000 km	Used
92	 Honda CB Unicorn 150	2013	Rs. 	65000.0	150		Commuter	50,000 km	Used
93	 Yamaha Alba 106	2009	Rs. 	65000.0				66,400 km	Used
94	 Hero iSmart 110	2014	Rs. 	67000.0	110		Commuter	35,000 km	Used
95	 Hero HF Deluxe	2013	Rs. 	67000.0	98		Commuter	45,490 km	Used
96	 Yamaha Ray Z 113	2015	Rs. 	67900.0	113		Scooter	0 km	Used
97	 Yamaha R15 V1	2011	Rs. 	68000.0	149		Sports	45,000 km	Used
98	 Yamaha FZ V1	1980	Rs. 	70000.0	149		Sports Naked	13,000 km	Used
99	 Suzuki Hayate EP	2019	Rs. 	70000.0	113		Commuter	23,000 km	Used
100	 Yamaha SZ-RR	2016	Rs. 	70000.0	149		Commuter	40 km	Used
101	 Hero iSmart 110	2016	Rs. 	70000.0	110		Commuter	25,000 km	Used
102	 Yamaha FZ V1	2016	Rs. 	70000.0	149		Sports Naked	90,000 km	Used
103	 Hero CBZ	2012	Rs. 	70000.0	150		Commuter	5,00,000 km	Used
104	 Yamaha Fascino 113	2015	Rs. 	70000.0	113		Scooter	20,000 km	Used
105	 Hartford VR150H	2011	Rs. 	70000.0	150		Commuter	40,000 km	Used
106	 Yamaha Fascino 113	2015	Rs. 	70000.0	113		Scooter	20,000 km	
107	 Bajaj Pulsar 150	2016	Rs. 	70000.0	150		Sports Naked	1,00,000 km	Used
108	 Hartford VR150H	2011	Rs. 	70000.0	150		Commuter	40,000 km	Used
109	 Bajaj Discover 125 ST	1986	Rs. 	70000.0	125		Commuter	40,000 km	Used
110	 Yamaha FZ V1	2012	Rs. 	70000.0	149		Sports Naked	75 km	Used
111	 Yamaha YBR	2010	Rs. 	70000.0	125		Commuter	93,366 km	Used
112	 Hero iSmart 110	2010	Rs. 	70000.0	110		Commuter	32,933 km	Used
113	 Hero iSmart 110	2016	Rs. 	70000.0	110		Commuter	25,000 km	Used
114	 Hero Super Splendor	2010	Rs. 	70000.0	125		Commuter	0 km	Used
115	 Suzuki Hayate EP	2019	Rs. 	70000.0	113		Commuter	23,000 km	Used
116	 Yamaha Ray Z 113	2013	Rs. 	70000.0	113		Scooter	32,000 km	Used
117	 Hero CBZ	2012	Rs. 	70000.0	150		Commuter	5,00,000 km	Used
118	 Bajaj Pulsar AS 200	2008	Rs. 	70000.0	200		Sports	40,000 km	Used
119	 Motorhead Tekken 250	2019	Rs. 	70000.0	250		Dirt	43,000 km	Like new
120	 Honda CB Shine	2009	Rs. 	72000.0	124		Commuter	45,000 km	Used
121	 TVS Apache RTR 160 2V	2013	Rs. 	74000.0	160		Sports	35,000 km	Used
122	 Yamaha Fascino 113	2010	Rs. 	75000.0	113		Scooter	18,000 km	Used
123	 Bajaj Pulsar 150	2010	Rs. 	75000.0	150		Sports Naked	74,000 km	Used
124	 Hero Hunk 150R	2010	Rs. 	75000.0	150		Commuter	39,135 km	Used
125	 Bajaj Discover 125	2021	Rs. 	75000.0	125		Commuter	40,000 km	Used
126	 Hero Hunk 150R	2010	Rs. 	75000.0	150		Commuter	57,000 km	Used
127	 Honda CB Unicorn 150	2012	Rs. 	75000.0	150		Commuter	73,000 km	
128	 Yamaha Saluto	2017	Rs. 	75000.0	125		Commuter	23,000 km	Used
129	 TVS Apache RTR 180 2V	2014	Rs. 	75000.0	178		Sports	0 km	Used
130	 Bajaj Pulsar 150	2010	Rs. 	75000.0	150		Sports Naked	74,000 km	Used
131	 Hero Dash	2014	Rs. 	75000.0	111		Scooter	45,000 km	Used
132	 TVS Apache RTR 180 2V	2016	Rs. 	75000.0	178		Sports	60,000 km	Used
133	 Honda CB Unicorn 160	2016	Rs. 	75000.0	163		Commuter	35,000 km	Used
134	 Bajaj Pulsar 220F	2009	Rs. 	75000.0	220		Sports	79,000 km	Used
135	 Honda CB Unicorn 150	2014	Rs. 	75000.0	150		Commuter	3,60,000 km	Used
136	 Bajaj Discover 125	2021	Rs. 	75000.0	125		Commuter	40,000 km	Used
137	 TVS Apache RTR 180 2V	2013	Rs. 	80000.0	178		Sports	53,000 km	Used
138	 Honda CB Trigger	2016	Rs. 	80000.0	150		Commuter	70,000 km	Like new
139	 Hero CBZ	2013	Rs. 	80000.0	150		Commuter	59,000 km	Used
140	 Bajaj Pulsar 150	2014	Rs. 	80000.0	150		Sports Naked	86,000 km	Used
141	 Honda CB Trigger	2016	Rs. 	80000.0	150		Commuter	17,000 km	Used
142	 Honda Aviator	2016	Rs. 	80000.0	110		Scooter	48,000 km	Used
143	 Suzuki Gixxer 150	2017	Rs. 	80000.0	155		Sports	35,000 km	Used
144	 Honda CB Shine	2013	Rs. 	80000.0	124		Commuter	43,521 km	Used
145	 Yamaha Ray ZR	2017	Rs. 	80000.0	113		Scooter	30,000 km	Used
146	 Hero Dash	2017	Rs. 	80000.0	111		Scooter	0 km	Used
147	 Yamaha SZ-RR	2014	Rs. 	80000.0	149		Commuter	46,000 km	Used
148	 Hero Duet	2017	Rs. 	80000.0	111		Scooter	0 km	
149	 Honda CB Trigger	2016	Rs. 	80000.0	150		Commuter	17,000 km	Used
150	 Honda Dio	2013	Rs. 	80000.0	110		Scooter	39,000 km	Used
151	 Hero Dash	2017	Rs. 	80000.0	111		Scooter	0 km	Used
152	 Suzuki Slingshot	2011	Rs. 	80000.0	124		Commuter	40,000 km	Used
153	 Hero Super Splendor	2017	Rs. 	80000.0	125		Commuter	15,000 km	Used
154	 Bajaj Pulsar 220F	2012	Rs. 	80000.0	220		Sports	1,10,000 km	Used
155	 Honda Aviator	2016	Rs. 	80000.0	110		Scooter	48,000 km	Used
156	 Bajaj Pulsar 220F	2005	Rs. 	80000.0	220		Sports	0 km	Used
157	 Yamaha R15 V2	2010	Rs. 	80000.0	149		Sports	30,000 km	Used
